,Agelas clathrodes,Agelas citrina,Agelas dispar,Agelas tubulata,Agelas wiedenmayeri,Aiolocroia crassa,Amphimedon copressa,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina insularis,Aplysina lacunosa,Callyspongia plicifera,Callyspongia vaginalis,Callispongia fallax,Callispongia armigera,Cliona delitrix,Cliona varians,Cribochalina vascolum,Dragmacidon sp.,Dysidea variabilis,Ectyoplasia ferox,Geodia neptuni,Hymeniacidon caerulea,Iotrochota birotulata,Igernella notabilis,Ircinia felix,Ircinia strobilina,Monanchora arbuscula,Mycale laxissima,Mycale laevis,Nipahtes amorpha,Niphates erecta,Niphathes digitalis,Phorbas amaranthus,Scopalina rutzleri,Svenezea flava,Spirastrella coccinea,Verongula reswigui,Verongula rigida,Xestospongia muta
CayoNuevo1,0,0,0,0,0,0,16,0,0,1,3,0,1,0,0,0,0,2,10,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,0,4,0
CayoNuevo2,1,0,0,0,0,2,12,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
CayoNuevo3,0,0,0,0,0,2,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CayoNuevo4,1,0,0,0,1,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlA12-1A,0,0,0,0,0,1,0,0,0,6,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,7,0,0,2,0,0,2,4,0,0,0,1,0
AlA12-1B,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,2,9,0,0,1,1,0
AlA12-1C,0,0,0,0,0,0,0,0,2,1,12,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,4,0,0,2,1,0
AlA12-1D,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
DES1-1A,1,0,0,0,0,4,19,0,3,4,8,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,11,0,0,0,4,1,0,19,0,0,0,6,0
DES1-1B,1,0,0,0,0,1,6,0,3,5,13,0,2,0,1,0,0,1,7,0,0,0,0,3,0,0,0,0,0,6,0,0,0,4,3,0,8,0,0,0,5,0
DES2-1A,8,0,0,2,10,1,7,0,1,0,7,0,0,3,1,0,0,0,0,0,0,2,3,0,0,1,0,1,7,1,0,0,1,7,2,0,18,0,0,0,7,0
DES2-1B,20,0,4,10,15,4,5,0,0,0,0,0,0,3,5,0,0,4,0,0,0,1,0,0,0,1,0,1,7,3,0,0,2,2,2,0,18,0,0,0,5,0
