,Centroceras sp,Chaetomorpha sp1,Chlorophyta spp,Corallina racemosa,Dictyota sp1,Gelidiella acerosa,Gracilaria sp2,Laurencia mamilosa,Laurencia sp6,Phaeophyceae spp,Pseudolithoderma extensum,Sargassum sp1,Ulva sp1
Ve-Nes-Lpa-Ra-M1,0,0,0,0,0,21,0,6,2,4,0,8,0
Ve-Nes-Lpa-Ra-M2,8,1,0,0,0,6,6,12,8,0,2,0,2
Ve-Nes-Lpa-Ra-M3,0,0,2,0,0,0,0,10,8,8,2,6,0
Ve-Nes-Lpa-Ra-M4,0,1,2,0,0,50,8,0,0,0,7,0,0
Ve-Nes-Lpa-Ra-M5,0,0,0,0,0,26,0,0,0,6,0,0,0
Ve-Nes-Lpa-Ra-M6,0,0,0,16,4,0,5,8,13,0,6,12,0
Ve-Nes-Lpa-Ra-M7,4,5,0,0,10,0,4,0,8,12,12,21,0
Ve-Nes-Lpa-Ra-M8,0,5,0,0,4,5,7,12,4,0,4,39,1
Ve-Nes-Lpa-Ra-M9,0,0,0,0,0,5,5,10,5,8,2,20,0
Ve-Nes-Lpa-Ra-M10,2,4,0,0,0,0,0,13,10,14,17,6,0
