label,Y,X
CayoNuevo1,21.82868611,-92.075327780
CayoNuevo2,21.82868612,-92.075327790
CayoNuevo3,21.82868613,-92.075327800
CayoNuevo4,21.82868614,-92.075327810
AlA12-1A,22.37783333,-89.69452778
AlA12-1B,22.37783334,-89.69452779
AlA12-1C,22.37783335,-89.6945278
AlA12-1D,22.37783336,-89.69452781
DES1-1A,22.48305,-89.77248333
DES1-1B,22.48306,-89.77248334
DES2-1A,22.54244444,-89.74863889
DES2-1B,22.54244445,-89.7486389
DES2-1C,22.54244446,-89.74863889
DES2-2A,22.50133333,-89.787756
DES2-2B,22.50133334,-89.78777
DES3-1A,22.50133335,-89.71576667
DES3-1B,22.50133336,-89.71576668
DES3-1C,22.50133337,-89.71576669
DES3-2A,22.57641667,-89.71494444
DES3-2B,22.57641668,-89.71494445
DES3-2C,22.57641669,-89.71494446
DES3-3A,22.58628333,-89.75666667
DES3-3B,22.58628334,-89.75666668
DES4-1A,22.49836667,-89.79336669
DES4-1B,22.49836668,-89.7933667
DES4-2A,22.49836669,-89.79336671
DES4-2B,22.4983667,-89.79336672
MUER1-1A,22.41749722,-89.713675
MUER1-2B,22.41749723,-89.713676
Muer2-1A,22.41749724,-89.713677
Muer2-2,22.41749725,-89.713678
Muer2-3,22.41749726,-89.713679
Ala12-1a,22.37783333,-89.69452779
Ala12-1b,22.37783334,-89.6945278
Ala12-1c,22.37783335,-89.69452781
Ala12-1d,22.37783336,-89.69452782
